Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.819234162,2.919360806,3.022259234,3.121310129,3.221170105,3.332161805,3.467728555,3.635942949,3.840365182,4.070740722,4.322661123,4.596260839,4.859279538,5.111070678,5.355450237,5.598605192,5.87444592,6.170324511,6.433637285,6.634854641,6.792754395,7.040565362,7.323587076,7.492574788,7.582253847,7.619480421,7.636374653,7.661798897,7.662864463,7.583910981,7.411887694,7.186138442,7.02550048,6.967444866,6.969846762,7.023373485,7.090261862,7.16175359,7.274308735,7.419451504,7.601283811,7.86065539,8.167211984,8.473560177,8.788387176,9.10268345,9.374094031,9.618555785,9.877711031,10.17055249,10.52797043,10.95403026,11.42213371,11.92148722,12.44049041,12.98344809,13.5528615,14.14707417,14.7822045,15.45401216,16.17337934,16.88546854,
Africa Eastern and Southern,AFE,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,3.254990154,3.236589568,3.218143985,3.200673885,3.18490087,3.170951348,3.159115785,3.150656154,3.145480553,3.141926062,3.139647056,3.140353023,3.1427337,3.145993667,3.149283992,3.151670986,3.155805729,3.161159443,3.167800213,3.176249735,3.181517279,3.18274314,3.18162493,3.174496272,3.16620412,3.162838893,3.161187353,3.163924181,3.162896638,3.158691672,3.159857203,3.163650068,3.17044595,3.177366758,3.179643029,3.180874431,3.186679528,3.192643283,3.195427482,3.19972464,3.20720231,3.214476805,3.220768675,3.225224969,3.229367915,3.234605826,3.239579322,3.244178679,3.248281883,3.255500428,3.271131738,3.294945115,3.322835563,3.351787391,3.383406606,3.417062899,3.454914195,3.497209789,3.540988164,3.583812651,3.61477696,3.624826961,
Afghanistan,AFG,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.707693903,2.705673028,2.70203872,2.697450938,2.691789357,2.685041951,2.678950885,2.673821044,2.669400046,2.666121432,2.663311174,2.662920848,2.663753786,2.663464245,2.663397203,2.663716564,2.665199558,2.663903021,2.655530328,2.639636717,2.618295101,2.595744022,2.566240619,2.532559209,2.489240286,2.436889063,2.401362479,2.383676361,2.375068679,2.376406371,2.377006697,2.380027205,2.391109148,2.405851958,2.419498384,2.430695004,2.441112043,2.449837029,2.456314237,2.462721349,2.468609487,2.475532427,2.4867134,2.498269194,2.506628061,2.511762655,2.517246525,2.536535944,2.563134673,2.587474724,2.618261353,2.648536946,2.676631155,2.704173323,2.721699625,2.726277074,2.728489896,2.737284188,2.752294539,2.769891434,2.774195757,2.768014758,
Africa Western and Central,AFW,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,3.550757298,3.55687356,3.570246649,3.580757733,3.587337974,3.588715414,3.584485424,3.574436408,3.563117906,3.552831819,3.540059815,3.523632709,3.507799415,3.495073378,3.484230781,3.475283434,3.473201299,3.475419305,3.475929197,3.475214408,3.464790892,3.447856755,3.436641799,3.428433912,3.423845035,3.423476525,3.422317841,3.422404203,3.427150357,3.430498197,3.431195267,3.429363358,3.423088997,3.415792601,3.406248263,3.394371735,3.382499372,3.370579279,3.356582257,3.340848314,3.325234506,3.310546128,3.297673411,3.285797112,3.27264773,3.258990831,3.246561391,3.235167914,3.224067386,3.213606151,3.203580979,3.191612881,3.177408175,3.15886548,3.133197181,3.115342181,3.109825902,3.108168168,3.111139628,3.118692243,3.121204182,3.113268192,
Angola,AGO,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,3.135311616,3.124414726,3.118234857,3.106290293,3.085874037,3.054539037,3.011142598,2.955620194,2.891315927,2.826002573,2.776662753,2.739694637,2.697991758,2.653626313,2.611379394,2.570092116,2.529442793,2.490040014,2.45257778,2.41837589,2.386024022,2.356145921,2.329466199,2.301942024,2.274500395,2.25126606,2.232405351,2.21467244,2.2002395,2.194728315,2.197879509,2.214537544,2.240881694,2.274566421,2.319226969,2.370884256,2.426980807,2.486233932,2.545633638,2.605999879,2.666209315,2.725133447,2.781571894,2.833798898,2.879648235,2.915119354,2.940631409,2.957446697,2.966366886,2.969494929,2.968719148,2.963750005,2.955767842,2.941887412,2.919759589,2.903602714,2.895803059,2.891001211,2.894331923,2.904016132,2.913682254,2.916629959,
Albania,ALB,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,6.600867174,6.550061691,6.511275537,6.468774471,6.413805506,6.336709294,6.237188042,6.121803613,6.006330024,5.906559679,5.83250837,5.788547935,5.770988088,5.77368441,5.787252252,5.804221836,5.818369333,5.827244759,5.829337898,5.823576966,5.827374827,5.845677201,5.874288114,5.921003001,5.990028227,6.079684141,6.181876545,6.290734036,6.403156546,6.513808059,6.624147258,6.739387189,6.865127061,7.001945401,7.146615504,7.298888294,7.460529204,7.632259677,7.817223378,8.024630624,8.265463913,8.55360312,8.894118289,9.273689783,9.678879113,10.09341251,10.50039208,10.90137656,11.29011183,11.65471767,12.00363062,12.34970291,12.70249979,13.07143733,13.46952647,13.89957601,14.33821661,14.77000976,15.22272539,15.73542466,16.23505013,16.68799059,
Andorra,AND,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,8.511777302,8.011928429,7.442377117,6.882241051,6.502550814,6.257127651,6.042274571,5.910743802,5.848455125,5.822972511,5.793785912,5.772960072,5.756870051,5.762252437,5.811993917,5.907418168,6.02378774,6.159872435,6.346800237,6.603743904,6.923518222,7.268812198,7.47918581,7.591817266,7.774710664,8.034129859,8.329252652,8.652944591,9.050413329,9.490073317,9.946781048,10.28963561,10.51696374,10.7413173,10.95949713,11.18902234,11.54856505,12.0057116,12.44764671,12.87628604,13.27486483,13.35802507,13.14414837,12.95150584,12.76745858,12.5791357,12.43895133,12.32412611,12.16514981,11.95896298,11.65085766,11.63203897,12.01480322,12.43931094,12.90559017,13.38414377,13.69718065,13.94401547,14.25999865,14.59674946,14.98509892,15.36581897,
Arab World,ARB,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,3.792166003,3.826413558,3.872500164,3.911584687,3.942573107,3.967272185,3.980013183,3.982034397,3.982117034,3.979153223,3.973120171,3.965703826,3.956706832,3.94504467,3.930079103,3.917911441,3.913385342,3.901732088,3.876082474,3.848309886,3.823023588,3.79682854,3.769392342,3.745730227,3.731714103,3.725635448,3.726249049,3.731929521,3.738512107,3.749153642,3.757370427,3.781026187,3.803102253,3.826616437,3.85169168,3.878987096,3.920214064,3.975081541,4.01661033,4.043024751,4.065987439,4.086528046,4.106043688,4.120468149,4.127325865,4.124373798,4.112002179,4.096927639,4.087452697,4.087593683,4.105542874,4.152363362,4.215849929,4.284910079,4.357420458,4.439092533,4.532304188,4.630095038,4.731329499,4.836652376,4.944277336,5.047369978,
United Arab Emirates,ARE,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,3.022025254,2.874589865,2.72919219,2.589492874,2.442092273,2.294923351,2.155658332,2.021207471,2.005772931,2.133845058,2.287301937,2.420747956,2.523547036,2.608555553,2.698712025,2.827244412,2.762730831,2.51478967,2.281582895,2.055984393,1.85723032,1.751709848,1.714420787,1.68058854,1.648955491,1.6251564,1.593449701,1.553664697,1.520990397,1.492549852,1.466940358,1.444593704,1.4277189,1.417425004,1.412956948,1.411182818,1.38561004,1.338370742,1.294144791,1.25458675,1.219085026,1.18504232,1.150972985,1.116671507,1.082533691,1.018801239,0.865679902,0.651508451,0.458418394,0.326062012,0.351463945,0.502092422,0.666654548,0.847998432,1.048739863,1.271029479,1.517137824,1.789326675,2.089690479,2.419897942,2.624985308,2.700213714,
Argentina,ARG,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,5.577361835,5.742216138,5.91210572,6.084288145,6.258174876,6.432825663,6.611129901,6.791779492,6.969228748,7.137047845,7.303133807,7.460526614,7.604044035,7.747000476,7.892359051,8.049929362,8.219116663,8.397731999,8.581552908,8.754062384,8.909952007,9.055408405,9.18893869,9.310428155,9.427707985,9.543894047,9.665887181,9.797379101,9.937976597,10.08791479,10.24260925,10.40944318,10.58315248,10.74698665,10.89393332,11.02178344,11.1346441,11.23105077,11.31553976,11.39407641,11.46917929,11.54540932,11.63093402,11.70382477,11.77250702,11.86303313,11.96316844,12.06232979,12.16621418,12.28118515,12.39370394,12.5108915,12.6490183,12.79172996,12.92006646,13.04494516,13.16183541,13.27747331,13.41226403,13.56203593,13.70606368,13.82327067,
